LINAK U.S. Inc.	Physical inventory by inventory dimension	7/2/2018	05:23:25 pm	Page 1
As of	7/2/2018
Item number	Item name	Location	Pallet ID	Available physical	Inventory value in total
0015755-A	CABLE STR BLACK 8P DIN (HR)  R	QIHOLD	557060A	50.00	95.77
0015756-2590-A	8P DIN CABLE STRAIGHT 102"	QIHOLD	560005A	49.00	169.07
0015767	CABLE COILED 8P 9/ 2450MM	QIHOLD	568701A	22.00	87.82
0015767	CABLE COILED 8P 9/ 2450MM	QIHOLD	570418A	520.00	1,848.59
0020075	MOTOR LA27 - 24 V - INVACARE	QIHOLD	stop	1.00	4.97
00914517-C	CABLE COILED 6C/8P 810MM BLACK	QIHOLD	570440A	499.00	1,113.42
00J1BA058	AQUA CREEK BAJ OVERLAY	QIHOLD	574063A	500.00	455.00
0271129-147	OUTER TUBE ALU MACH 147 MM	QIHOLD	stop	3.00	2.94
0271129-202	OUTER TUBE ALU MACH 202 MM	QIHOLD	stop	5.00	13.08
0271129-207	OUTER TUBE ALU MACH 207 MM	QIHOLD	stop	6.00	6.79
0271129-288	LA27 KANBAN OUTER TUBE	QIHOLD	stop	1.00	1.22
0271129-325	LA27 KANBAN OUTER TUBE	QIHOLD	stop	1.00	2.09
0271129-544	LA27 KANBAN OUTER TUBE	QIHOLD	stop	2.00	4.09
0271131-C	BASEPART IP66 - RAL 7016	QIHOLD	stop	1.00	0.38
0311248	BASE PART, NG, STD, BLACK	QIHOLD	G828297	140.00	400.68
0311248	BASE PART, NG, STD, BLACK	QIHOLD	stop	96.00	274.76
031566-B	BASE PART, NG, FWD, BLACK	QIHOLD	stop	1.00	1.55
031808-B	BASE PART, GR, REAR, GREY, V0	QIHOLD	stop	64.00	193.40
031809-B	TOP PART, GR, REAR, GREY, V0	QIHOLD	stop	64.00	146.21
0361116-A	POTMETER BRACKET "NEW"	QIHOLD	stop	1,603.00	311.34
0441076-A	SEALRING LA44	QIHOLD	stop	3.00	1.17
0448005	ASSEMBLED PLANETARY GEAR LA44	QIHOLD	stop	1.00	1.05
0633355-A	TOP FRAME OUTER PROFILE SC	QI	403751A	0.00	1.50
0634116-A122-466	DL12A INNER PROFILE BLACK	QIHOLD	stop	1.00	6.65
0634116-A123-466	DL12A INNER PROFILE WHITE	QIHOLD	stop	1.00	6.67
0634116-A124-466	DL12A INNER PROFILE MERLE	QIHOLD	stop	12.00	83.51
0634116-A36-466	INNER PROFILE DL12A PLATINUM	QIHOLD	stop	20.00	144.32
0634118-B123-460	DL12A MIDDLE PROFILE WHITE	QIHOLD	stop	13.00	65.89
0634118-B124-460	DL12A MIDDLE PROFILE MERLE	QIHOLD	stop	9.00	45.98
0634118-B36-460	MIDDLE PROFILE DL12A PLATINUM	QIHOLD	stop	51.00	244.95
0634120-C125-469	BLACK DL12A OUTER PROFILE	QIHOLD	stop	1.00	6.87
0634120-C126-469	WHITE DL12A OUTER PROFILE	QIHOLD	stop	3.00	19.50
0634120-C127-469	MERLE DL12A OUTER PROFILE	QIHOLD	stop	8.00	55.92
0634120-C36-469	PLATINUM DL12A OUTER PROFILE	QIHOLD	stop	58.00	358.07
0634120-C36-591	PLATINUM DL12B SS OUTER	QIHOLD	stop	3.00	25.22
0634122-B36-469	PLAT DL12AB BENCH OUTER LH	QIHOLD	stop	1.00	8.83
0634123-B127-469	MER DL12A BENCH OUTER TEXT RH	QIHOLD	stop	1.00	9.11
0634123-B36-469	PLAT DL12A BENCH OUTER RH	QIHOLD	stop	2.00	17.79
0648553-A120-635	INNER PROFILE - DL5-SILVER	QIHOLD	stop	12.00	99.78
0648553-A36-635	INNER PROFILE - DL5-RAL 4799	QIHOLD	stop	33.00	267.14
0648669-A01-456	DL56 OUTER PROFILE - BLACK	QIHOLD	540223A	0.00	0.00
0648669-A22-594	DL56 OUTER PROFILE - WHITE	QIHOLD	stop	2.00	11.72
0717270-B	HC20 EASYREST PREMIER TOP	QIHOLD	553245A	50.00	31.80
