LINAK U.S. Inc.	Physical inventory by inventory dimension	10/2/2017	03:19:54 pm	Page 1
As of	10/2/2017
Receipt lot	Item number	Item name	Receipt date	Location	Pallet ID	Posted quantity	Physical inventory	Posted in total
26164045	HC22RF2024-D	HC22RF2024-D	8/15/2017	QIHOLD	488373A	7.00	7.00	61.73
26176788	0634120-A36-469	DL12A OUTER PROFILE PLATINUM	8/17/2017	QIHOLD	stop	2.00	2.00	13.80
26182096	0634116-A124-466	DL12A INNER PROFILE MERLE	8/22/2017	QIHOLD	stop	4.00	4.00	26.89
26182112	0634118-A124-460	DL12A MIDDLE PROFILE MERLE	8/22/2017	QIHOLD	stop	6.00	6.00	32.83
26190592	3420019-199-00	OUTER TUBE L=199  BLACK	9/1/2017	QIHOLD	stop	1.00	1.00	1.22
26195042	0634116-A36-466	INNER PROFILE DL12A PLATINUM	8/22/2017	QIHOLD	stop	1.00	1.00	6.28
26215252	0634116-A36-466	INNER PROFILE DL12A PLATINUM	9/1/2017	QIHOLD	stop	23.00	23.00	149.42
26215258	0634118-A36-460	MIDDLE PROFILE DL12A PLATINUM	9/1/2017	QIHOLD	stop	28.00	28.00	151.23
26215262	0634120-A36-469	DL12A OUTER PROFILE PLATINUM	9/1/2017	QIHOLD	stop	26.00	26.00	179.40
26221430	3420019-188.5-01	OUTER TUBE L=188.5 GREY	9/8/2017	QIHOLD	stop	1.00	1.00	1.56
26226013	3420019-185-00	OUTER TUBE L=185  BLACK	9/8/2017	QIHOLD	stop	1.00	1.00	2.04
26226403	0728067	S7.1- 22.3" STRTCHR- STRT PLAT	9/19/2017	QIHOLD	stop	3.00	3.00	36.63
26230911	0840149	STEELCASE FOIL SWITCH	8/29/2017	QIHOLD	stop	2.00	2.00	23.83
26249167	0634120-A125-469	DL12A OUTER PROFILE BLACK	9/1/2017	QIHOLD	stop	16.00	16.00	110.07
26266524	3420019-312-01	OUTER TUBE L=312 GREY	9/22/2017	QIHOLD	stop	1.00	1.00	1.41
26268200	0634118-A36-460	MIDDLE PROFILE DL12A PLATINUM	9/26/2017	QIHOLD	stop	7.00	7.00	38.01
26279197	0634118-A36-460	MIDDLE PROFILE DL12A PLATINUM	9/22/2017	QIHOLD	stop	73.00	73.00	396.18
26294874	0634116-A36-466	INNER PROFILE DL12A PLATINUM	9/20/2017	QIHOLD	stop	1.00	1.00	6.46
26315994	0728067	S7.1- 22.3" STRTCHR- STRT PLAT	9/19/2017	QIHOLD	stop	1.00	1.00	20.89
