Item number	Item name	Location	Pallet ID	Available physical	Inventory value in total
0015755-A	CABLE STR BLACK 8P DIN (HR)  R	QIHOLD	557060A	50.00	90.35
0015756-2590-A	8P DIN CABLE STRAIGHT 102"	QIHOLD	560005A	49.00	169.07
0020630-A	MOTOR LA44-34V-60SPB20+C+SR	QI-BACKWHS	512614A	292.00	3145.70
0020630-A	MOTOR LA44-34V-60SPB20+C+SR	QI-BACKWHS	553253A	162.00	1751.58
0021027-B	STEEL TUBE Ø25X1.50	QIHOLD	545462A	1039.00	1327.53
0021027-B	STEEL TUBE Ø25X1.50	QIHOLD	545463A	1039.00	1327.53
0021027-B	STEEL TUBE Ø25X1.50	QIHOLD	545464A	1039.00	1327.53
00J1CH003	OVERLAY HILL-ROM CHARGER	QIHOLD	555905A	100.00	182.50
0271129-325	LA27 KANBAN OUTER TUBE	QIHOLD	stop	8.00	12.88
0271129-544	LA27 KANBAN OUTER TUBE	QIHOLD	stop	1.00	1.98
0311248	BASE PART NG STD BLACK	QIHOLD	G828297	140.00	400.68
0311248	BASE PART NG STD BLACK	QIHOLD	stop	96.00	274.76
031273-C	ASSM END SWITCH ANG BLACK (HR)	QIHOLD	555961A	50.00	433.44
0448005	ASSEMBLED PLANETARY GEAR LA44	QIHOLD	stop	1.00	1.05
0633042-135-41.5	HAB - DL12 FOOT PLATINUM	QIHOLD	509019A	1000.00	6122.13
0633042-135-41.5	HAB - DL12 FOOT PLATINUM	QIHOLD	512560A	1000.00	6074.15
0633042-135-41.5	HAB - DL12 FOOT PLATINUM	QIHOLD	515711A	1000.00	6074.15
0633042-135-41.5	HAB - DL12 FOOT PLATINUM	QIHOLD	stop	35.00	214.53
0633355-A	TOP FRAME OUTER PROFILE SC	QI	403751A	0.00	1.50
0634116-A123-466	DL12A INNER PROFILE WHITE	QIHOLD	555989A	3.00	19.12
0634116-A124-466	DL12A INNER PROFILE MERLE	QIHOLD	555989A	8.00	51.31
0634116-A36-466	INNER PROFILE DL12A PLATINUM	QIHOLD	555989A	29.00	179.76
0634116-A36-466	INNER PROFILE DL12A PLATINUM	QIHOLD	stop	6.00	39.88
0634118-B122-460	DL12A MIDDLE PROFILE BLACK	QIHOLD	555987A	1.00	5.09
0634118-B123-460	DL12A MIDDLE PROFILE WHITE	QIHOLD	555987A	5.00	25.58
0634118-B123-460	DL12A MIDDLE PROFILE WHITE	QIHOLD	stop	1.00	5.07
0634118-B124-460	DL12A MIDDLE PROFILE MERLE	QIHOLD	555987A	29.00	149.58
0634118-B124-460	DL12A MIDDLE PROFILE MERLE	QIHOLD	stop	2.00	10.22
0634118-B36-460	MIDDLE PROFILE DL12A PLATINUM	QIHOLD	555987A	56.00	267.63
0634118-B36-460	MIDDLE PROFILE DL12A PLATINUM	QIHOLD	stop	18.00	85.47
0634120-C125-469	BLACK DL12A OUTER PROFILE	QIHOLD	555988A	3.00	19.31
0634120-C126-469	WHITE DL12A OUTER PROFILE	QIHOLD	555988A	8.00	51.82
0634120-C126-469	WHITE DL12A OUTER PROFILE	QIHOLD	stop	1.00	6.90
0634120-C127-469	MERLE DL12A OUTER PROFILE	QIHOLD	555988A	5.00	32.70
0634120-C36-469	PLATINUM DL12A OUTER PROFILE	QIHOLD	555988A	53.00	330.22
0634120-C36-469	PLATINUM DL12A OUTER PROFILE	QIHOLD	stop	12.00	80.89
