Item number	Item name	Location	Pallet ID	Available physical	Inventory value in total
0015755-A	CABLE STR BLACK 8P DIN (HR)  R	QIHOLD	557060A	50.00	95.77
0015756-2590-A	8P DIN CABLE STRAIGHT 102"	QIHOLD	560005A	49.00	169.07
0020075	MOTOR LA27 - 24 V - INVACARE	QIHOLD	stop	960.00	4531.16
0020287-D	MOTOR - 12V WITH - EMC FILTER	qihold	585446A	367.00	4070.56
0020633-A	MOTOR LA44-24V-60SPB20+C+SR	QIHOLD	G730463	4.00	58.91
0020633-A	MOTOR LA44-24V-60SPB20+C+SR	QIHOLD	G800595	297.00	4374.22
00914517-C	CABLE COILED 6C/8P 810MM BLACK	QIHOLD	570440A	0.00	0.00
00MD1000D2-C	MASSAGE MOTOR STR. PLUG NO ID	QIHOLD	590360A	200.00	1066.00
00MD1000D2-C	MASSAGE MOTOR STR. PLUG NO ID	QIHOLD	590361A	200.00	1066.00
00MD1000D2-C	MASSAGE MOTOR STR. PLUG NO ID	QIHOLD	590362A	200.00	1066.00
00MD1000D2-C	MASSAGE MOTOR STR. PLUG NO ID	QIHOLD	590363A	200.00	1066.00
00MD1000D2-C	MASSAGE MOTOR STR. PLUG NO ID	QIHOLD	590394A	200.00	1066.00
00MD1000D2-C	MASSAGE MOTOR STR. PLUG NO ID	QIHOLD	590395A	200.00	1066.00
00MD1000D2-C	MASSAGE MOTOR STR. PLUG NO ID	QIHOLD	590396A	200.00	1066.00
00MD1000D2-C	MASSAGE MOTOR STR. PLUG NO ID	QIHOLD	593211A	200.00	1066.00
00MD1000D2-C	MASSAGE MOTOR STR. PLUG NO ID	QIHOLD	593212A	200.00	1066.00
00MD1000D2-C	MASSAGE MOTOR STR. PLUG NO ID	QIHOLD	593213A	200.00	1066.00
00MD1000D2-C	MASSAGE MOTOR STR. PLUG NO ID	QIHOLD	593214A	200.00	1066.00
00MD1000D2-C	MASSAGE MOTOR STR. PLUG NO ID	QIHOLD	593215A	200.00	1066.00
0271129-325	LA27 KANBAN OUTER TUBE	QIHOLD	stop	10.00	15.69
0271131-C	BASEPART IP66 - RAL 7016	QIHOLD	stop	1.00	0.37
0311240-B	LA31 BF HOLE AT 25 DEGREES	QIHOLD	31SCRAP	2.00	16.11
0311248	BASE PART NG STD BLACK	QIHOLD	G828297	140.00	400.68
0311248	BASE PART NG STD BLACK	QIHOLD	stop	96.00	274.76
0311460-B	BACKFIXTURE LONG	QIHOLD	31SCRAP	-1.00	-3.74
0311508-D	BRAKE FIXTURE CASTED LA31	QIHOLD	stop	379.00	36.16
031494-A	BACKFIXTURE 10.2 MM FLEX. STD	QIHOLD	31SCRAP	48.00	25.92
031572-A	SPINDLE NUT TR12X6 (P=3)	QIHOLD	31SCRAP	13.00	2.98
031574-A	THREADED SLEEVE	QIHOLD	31SCRAP	1.00	0.17
031574-B	SPINDLE NUT TR11.45X4 (P=2)	QIHOLD	31SCRAP	9.00	1.55
031808-B	BASE PART GR REAR GREY V0	QIHOLD	31SCRAP	52.00	158.67
0321118-A	PISTON ROD EYE	QIHOLD	31SCRAP	20.00	45.16
0361119-D	REAR MOUNTING "PAINT" Ø122	QIHOLD	561978A	228.00	299.50
0367244-A	CABLE POWER CRIMPED LA36 HA	QIHOLD	586543A	50.00	714.97
0441046-A	DOUBLE SPUR WHEEL LA44	QIHOLD	stop	4923.00	182.15
0617102-C-1000/PROTO	0617102-C-1000/PROTO	QIHOLD	I160580	49.00	0.00
0633355-A	TOP FRAME OUTER PROFILE SC	QI	403751A	0.00	1.50
0634116-A123-466	DL12A INNER PROFILE WHITE	QIHOLD	stop	8.00	50.82
0634116-A124-466	DL12A INNER PROFILE MERLE	QIHOLD	stop	3.00	20.07
0634116-A36-466	INNER PROFILE DL12A PLATINUM	QIHOLD	stop	24.00	105.93
0634118-B122-460	DL12A MIDDLE PROFILE BLACK	QIHOLD	stop	9.00	45.34
0634118-B123-460	DL12A MIDDLE PROFILE WHITE	QIHOLD	stop	11.00	58.05
